nom,rayon,masse,periode_orbite,annee,distance
TOI-561 d,2.53000000,11.95000000,25.62000000000,2020,85.79900000
TOI-561 e,2.55000000,13.60000000,77.03000000000,2020,85.79900000
TOI-5616 b,10.78000000,624.00000000,2.00284900000,2024,390.41500000
TOI-5634 A b,10.42000000,588.00000000,2.20353730000,2024,306.14400000
TOI-564 b,11.43318000,464.98529000,1.65114400000,2020,199.58100000
TOI-5720 b,1.09000000,4.30000000,1.43445550000,2024,35.82560000
TOI-5786 b,8.54000000,73.00000000,12.77910700000,2025,192.47500000
TOI-6038 A b,6.41000000,78.50000000,5.82673110000,2025,179.14700000
TOI-6130 b,14.34749530,333.71982735,2.39267900000,2024,220.88200000
TOI-615 b,18.97680433,138.25535705,4.66159830000,2023,360.40800000
TOI-622 b,9.23620010,96.30200732,6.40251300000,2023,123.29700000
TOI-663 d,1.92000000,5.20000000,7.10272680000,2024,64.23080000
TOI-6651 b,5.09000000,61.00000000,5.05697300000,2024,212.12800000
TOI-669 b,2.60000000,9.80000000,3.94515000000,2023,142.86700000
TOI-763 b,2.28000000,9.79000000,5.60570000000,2020,95.12740000
TOI-776 b,1.85000000,4.00000000,8.24661000000,2020,27.17010000
TOI-782 b,2.73400000,19.10000000,8.02400150000,2024,52.51220000
TOI-836 b,1.70400000,4.53000000,3.81673000000,2023,27.50240000
TOI-836 c,2.58700000,9.60000000,8.59545000000,2023,27.50240000
TOI-837 b,9.71000000,116.00000000,8.32491020000,2020,142.48800000
TOI-849 b,3.44400000,39.09000000,0.76552414000,2020,225.73400000
TOI-892 b,11.99360935,301.93698665,10.62656000000,2020,340.54300000
TOI-942 c,4.79300000,37.00000000,10.16050000000,2020,152.60100000
TOI-954 b,9.55006800,55.30242000,3.68497290000,2020,238.76800000
TOI-969 b,2.76500000,9.10000000,1.82373050000,2022,77.25540000
TrES-4 b,20.60214200,157.00802000,3.55392771000,2007,515.98000000
V1298 Tau e,8.23860081,368.68095212,40.20000000000,2019,108.19900000
WASP-1 b,16.97042600,291.76794000,2.51996100000,2007,393.07200000
WASP-10 b,11.96000300,1020.23430000,3.09272932000,2008,140.99800000
WASP-103 b,17.12735200,473.56670000,0.92554200000,2014,375.64700000
WASP-104 b,12.74463300,403.00844000,1.75541370000,2014,185.93200000
WASP-106 b,12.16176500,606.73747000,9.28971500000,2014,352.18100000
WASP-107 b,10.35711600,37.82177000,5.72149242000,2017,64.74140000
WASP-113 b,15.79348100,150.96925000,4.54216874538,2016,435.15600000
WASP-12 b,20.84874000,638.83830000,1.09142119000,2008,427.24600000
WASP-123 b,14.77346200,285.72917000,2.97764120000,2016,197.99600000
WASP-129 b,10.42437000,317.83000000,5.74814500000,2016,301.46200000
WASP-132 b,9.75183000,130.31030000,7.13352100000,2016,122.91000000
WASP-132 c,1.85000000,37.35000000,1.01153400000,2022,122.91000000
WASP-133 b,13.56289000,368.68280000,2.17642300000,2016,559.08400000
WASP-138 b,12.21781000,387.75260000,3.63443300000,2016,414.23400000
WASP-14 b,14.35872900,2294.73260000,2.24376610000,2008,161.99700000
WASP-148 b,8.09289800,92.48853000,8.80381000000,2020,246.35300000
WASP-15 b,15.45721100,175.12433000,3.75210000000,2009,282.09100000
WASP-151 b,13.30506009,100.43377661,4.53347750000,2017,453.09900000
WASP-156 b,5.71659000,40.68224000,3.83616900000,2017,122.06600000
WASP-158 b,11.99363000,886.74570000,3.65633300000,2018,524.99300000
WASP-16 b,13.65256200,264.43456000,3.11860680000,2009,194.13400000
WASP-161 b,12.81188700,791.39670000,5.40604250000,2018,343.08000000
WASP-163 b,13.47321800,594.34210000,1.60968840000,2018,261.38600000
WASP-166 b,7.06167000,32.10083000,5.44354000000,2019,114.17300000
WASP-169 b,14.61653600,178.30263000,5.61141180000,2019,627.06600000
WASP-17 b,21.65578800,151.60491000,3.73548450000,2009,405.90800000
WASP-171 b,10.98482000,344.52772000,3.81862440000,2019,757.84000000
WASP-183 b,16.47723000,159.55066000,4.11177710000,2019,325.37700000
WASP-184 b,14.90797000,181.16310000,5.18170000000,2019,663.23100000
WASP-185 b,14.01125000,311.47340000,9.38755000000,2019,279.35000000
WASP-186 b,12.44196858,1341.23587754,5.02679900000,2020,278.51400000
WASP-189 b,18.14733975,632.47852993,2.72403300000,2020,99.73100000
WASP-19 b,15.42358400,370.27195000,0.78883900000,2009,268.32500000
WASP-193 b,16.40994774,44.17814857,6.24633450000,2023,362.08700000
WASP-2 b,12.07209300,275.24078000,2.15222540000,2007,153.24200000
WASP-21 b,14.15696700,93.75985000,4.32250600000,2010,258.42600000
WASP-22 b,12.55408000,177.98480000,3.53269000000,2010,317.65200000
WASP-25 b,13.97762300,190.06234000,3.76483270000,2010,211.41600000
WASP-3 b,15.69260000,629.30340000,1.84683550000,2007,231.16100000
WASP-31 b,17.36274100,155.41887000,3.40588600000,2010,383.82900000
WASP-32 b,10.76064000,835.89290000,2.71866000000,2010,275.99400000
WASP-33 b,17.85593700,665.21819000,1.21987000000,2010,121.94400000
WASP-38 b,12.30000000,858.10000000,6.90000000000,2010,136.24000000
WASP-39 b,14.93038800,89.94589000,4.05527650000,2011,213.98200000
WASP-4 b,14.80708900,376.94638000,1.33823146600,2007,267.20600000
WASP-42 b,12.10600000,158.90800000,4.98168720000,2012,177.29100000
WASP-45 b,13.00200000,320.04100000,3.12608760000,2011,211.19600000
WASP-46 b,14.68400000,667.73300000,1.43037000000,2011,375.31000000
WASP-47 e,1.77300000,6.91000000,0.79000000000,2015,264.78000000
WASP-5 b,13.12573900,520.28771000,1.62842460000,2008,309.13700000
WASP-50 b,13.67498000,524.41950000,1.95510000000,2011,184.84800000
WASP-52 b,14.23543000,145.88397000,1.74978350000,2012,174.81800000
WASP-59 b,8.68696004,274.28591524,7.91958500000,2012,115.93600000
WASP-63 b,15.80469000,117.59710000,4.37808000000,2012,290.68400000
WASP-65 b,12.46440800,489.45820000,2.31142430000,2013,273.70300000
WASP-66 b,15.58051000,753.25710000,4.08605200000,2012,500.25800000
WASP-68 b,14.79588000,343.25640000,5.08430000000,2014,226.39900000
WASP-7 b,14.90797000,305.11680000,4.95464160000,2008,162.30300000
WASP-70 A b,13.04727600,189.74451000,3.71302030000,2014,222.35500000
WASP-72 b,14.45961000,731.00900000,2.21673000000,2012,434.75400000
WASP-74 b,15.24424000,228.83760000,2.13775000000,2015,149.21600000
WASP-75 b,14.23500000,340.06000000,2.48419300000,2013,294.00100000
WASP-77 A b,13.50000000,572.10000000,1.40000000000,2012,105.16600000
WASP-78 b,21.63337000,352.79130000,2.17518000000,2012,754.25800000
WASP-80 b,10.67100000,176.07000000,3.06785040000,2012,49.78760000
WASP-83 b,11.65736000,95.34900000,4.97125200000,2015,271.10300000
WASP-84 c,1.95000000,15.20000000,1.44688490000,2023,100.58800000
WASP-87 b,15.52446500,692.86940000,1.68279500000,2016,298.39200000
WASP-88 b,16.36514000,133.48860000,4.95400000000,2014,523.75600000
WASP-93 b,17.90077300,467.21010000,2.73253210000,2016,370.28400000
WASP-95 b,13.78707000,457.67520000,2.18467000000,2014,137.54400000
WASP-99 b,12.32990000,889.92400000,5.75251000000,2014,158.66000000
WTS-1 b,16.70000000,1274.44000000,3.35205700000,2012,2346.01000000
Wendelstein-1 b,11.56096260,188.15536000,2.66341600000,2020,305.30000000
Wendelstein-2 b,12.99347280,232.33373000,1.75222390000,2020,565.54100000
Wolf 503 b,2.04300000,6.26000000,6.00127000000,2018,44.52600000
XO-2 N b,11.42197100,189.10885000,2.61585922000,2007,154.27300000
XO-7 b,15.35630356,225.65816897,2.86414200000,2019,234.14900000
ZTF J1230-2655 b,13.78704626,7024.00779470,0.23597766000,2025,186.69000000
ZTF J1828+2308 b,11.13051784,6356.56814000,0.11200670000,2025,201.82700000
